,Title,Price,Price Per Sqft
59,3 BHK Builder Floor for Sale in Defence Colony New Delhi,₹4.75 Cr ,₹11736 per sqft 
60,"5 BHK Apartment for Sale in Sector 128, Noida Express Way Noida",Call for Price,₹9816 per sqft 
61,"4 BHK Apartment for Sale in Baharampur Naya, Sector 61 Gurgaon",₹4.67 Cr ,₹13587 per sqft 
62,"5 BHK Apartment for Sale in Sector 128, Noida Express Way Noida",Call for Price,₹13035 per sqft 
63,"4 BHK Apartment for Sale in Sector 150, Pusta Road Noida",₹3.25 Cr ,₹6707 per sqft 
64,4 BHK Builder Floor for Sale in Chittaranjan Park New Delhi,₹7 Cr ,₹3606 per sqft 
65,3 BHK Apartment for Sale in Sector 111 Gurgaon,₹2.20 Cr ,₹6316 per sqft 
66,3 BHK Apartment for Sale in Sector 60 Gurgaon,₹2.40 Cr ,₹2997 per sqft 
67,2 BHK Apartment for Sale in Sector 68 Gurgaon,₹1.28 Cr ,₹19556 per sqft 
68,"2 BHK Apartment for Sale in Sidhartha Extention, Sidhartha Nagar New Delhi",₹1.25 Cr ,₹23148 per sqft 
69,"4 BHK Apartment for Sale in Ahinsa Khand-1, Indirapuram Ghaziabad",₹3.50 Cr ,₹12381 per sqft 
70,"5 BHK Apartment for Sale in Sector 128, Noida Express Way Noida",Call for Price,₹5769 per sqft 
71,"3 BHK Apartment for Sale in Sector 45, Noida Express Way Noida",₹1.10 Cr ,₹6667 per sqft 
72,2 BHK Builder Floor for Sale in Burari New Delhi,₹37 Lac ,₹7278 per sqft 
73,1 BHK Builder Floor for Sale in Indirapuram Ghaziabad,₹24 Lac ,₹4318 per sqft 
74,2 BHK Apartment for Sale in Sector 86 Faridabad,₹41 Lac ,₹7714 per sqft 
75,3 BHK Builder Floor for Sale in Greater Kailash 2 New Delhi,₹4.40 Cr ,₹4129 per sqft 
76,4 BHK Builder Floor for Sale in Greater Kailash 2 New Delhi,₹6.25 Cr ,₹4874 per sqft 
77,4 BHK Apartment for Sale in Sector 66 Gurgaon,₹2.60 Cr ,₹10250 per sqft 
78,4 BHK Apartment for Sale in Indirapuram Ghaziabad,₹1.50 Cr ,₹5217 per sqft 
79,3 BHK Apartment for Sale in Noida Extension Noida,₹1.20 Cr ,₹20833 per sqft 
80,4 BHK Apartment for Sale in Indirapuram Ghaziabad,₹2.35 Cr ,₹19092 per sqft 
81,4 BHK Apartment for Sale in Indirapuram Ghaziabad,₹95 Lac ,₹8667 per sqft 
82,4 BHK Apartment for Sale in Indirapuram Ghaziabad,₹2.20 Cr ,₹30000 per sqft 
83,2 BHK Apartment for Sale in Mahendra Enclave Ghaziabad,₹32 Lac ,₹10870 per sqft 
84,4 BHK Apartment for Sale in Zeta 1 Greater Noida,₹1.35 Cr ,₹3864 per sqft 
85,"3 BHK Apartment for Sale in Nirvana country Pocket H, Sector 50, Sohna Road Gurgaon",₹2.67 Cr ,₹5591 per sqft 
86,"3 BHK Builder Floor for Sale in Sainik Nagar, Uttam Nagar New Delhi",₹48 Lac ,₹3477 per sqft 
87,4 BHK Builder Floor for Sale in Chittaranjan Park New Delhi,₹6 Cr ,₹3214 per sqft 
88,4 BHK Builder Floor for Sale in Chittaranjan Park New Delhi,₹6.10 Cr ,₹6000 per sqft 
89,3 BHK Builder Floor for Sale in Raja Garden New Delhi,₹1.30 Cr ,₹5351 per sqft 
90,3 BHK Builder Floor for Sale in Vasant Vihar New Delhi,₹6.75 Cr ,₹6364 per sqft 
91,"3 BHK Apartment for Sale in Sector 76, Delhi Gurgaon Expressway Gurgaon",₹1.80 Cr ,₹6761 per sqft 
92,3 BHK Builder Floor for Sale in Sector 85 Faridabad,₹85 Lac ,₹4255 per sqft 
93,3 BHK Apartment for Sale in Sector 83 Gurgaon,₹97 Lac ,₹10059 per sqft 
94,2 BHK Apartment for Sale in Crossings Republik Ghaziabad,₹44.5 Lac ,₹16667 per sqft 
95,3 BHK Apartment for Sale in Crossings Republik Ghaziabad,₹54 Lac ,₹10264 per sqft 
96,2 BHK Builder Floor for Sale in Rohini Sector 20 New Delhi,₹33 Lac ,₹13889 per sqft 
97,3 BHK Apartment for Sale in Sector 80 Faridabad,₹99 Lac ,₹26984 per sqft 
98,3 BHK Apartment for Sale in Vaishali Sector 5 Ghaziabad,₹1.05 Cr ,₹6194 per sqft 
99,"3 BHK Apartment for Sale in Sector 150, Pusta Road Noida",₹1.19 Cr ,₹4154 per sqft 
100,2 BHK Apartment for Sale in Greater Noida West Greater Noida,₹40 Lac ,₹9300 per sqft 
101,3 BHK Builder Floor for Sale in Sector 79 Gurgaon,₹1.20 Cr ,₹3400 per sqft 
102,4 BHK Builder Floor for Sale in Greater Kailash 2 New Delhi,₹15 Cr ,₹4072 per sqft 
103,"4 BHK Builder Floor for Sale in South City 2, Sector 49 Gurgaon",₹4 Cr ,₹19201 per sqft 
104,3 BHK Builder Floor for Sale in Greater Kailash 2 New Delhi,₹3.75 Cr ,₹20481 per sqft 
105,3 BHK Apartment for Sale in Kamla Nagar New Delhi,Call for Price,₹3810 per sqft 
106,4 BHK Builder Floor for Sale in Sarvapriya Vihar New Delhi,₹8.50 Cr ,₹15432 per sqft 
107,3 BHK Apartment for Sale in Sector 33 Gurgaon,₹1.10 Cr ,₹3750 per sqft 
108," Apartment for Sale in Sector 150, Pusta Road Noida",Call for Price,₹8542 per sqft 
109,2 BHK Builder Floor for Sale in Neb Sarai New Delhi,₹27 Lac ,₹6332 per sqft 
110,3 BHK Apartment for Sale in West Patel Nagar New Delhi,₹93 Lac ,₹4015 per sqft 
111,2 BHK Apartment for Sale in Sain Vihar Ghaziabad,₹42.5 Lac ,₹12571 per sqft 
112,2 BHK Apartment for Sale in Crossings Republik Ghaziabad,₹45 Lac ,₹5551 per sqft 
113,3 BHK Builder Floor for Sale in Greater Kailash 3 New Delhi,₹3.75 Cr ,₹12759 per sqft 
114,3 BHK Builder Floor for Sale in Greater Kailash 3 New Delhi,₹4 Cr ,₹10188 per sqft 
115,2 BHK Apartment for Sale in Crossings Republik Ghaziabad,₹40 Lac ,₹11736 per sqft 
116,2 BHK Apartment for Sale in Noida-Greater Noida Expressway Greater Noida,₹35 Lac ,₹3388 per sqft 
117,3 BHK Builder Floor for Sale in Anand Vihar New Delhi,₹2.50 Cr ,₹3846 per sqft 
118,2 BHK Apartment for Sale in Sector 86 Faridabad,₹45 Lac ,₹9213 per sqft 
119,3 BHK Builder Floor for Sale in Sector 67A Gurgaon,₹2.05 Cr ,₹5455 per sqft 
120,3 BHK Apartment for Sale in Sector 81 Faridabad,₹1.20 Cr ,₹17778 per sqft 
121,2 BHK Builder Floor for Sale in raipur New Delhi,₹13 Lac ,₹19333 per sqft 
122,2 BHK Apartment for Sale in Crossings Republik Ghaziabad,₹52 Lac ,₹5820 per sqft 
123,4 BHK Builder Floor for Sale in Sector 65 Gurgaon,₹2.20 Cr ,₹10250 per sqft 
124,2 BHK Apartment for Sale in Noida Extension Noida,₹68 Lac ,₹8155 per sqft 
125,"3 BHK Apartment for Sale in Cyber City, Sector 25, Delhi Gurgaon Expressway Gurgaon",₹1.85 Cr ,₹7147 per sqft 
126,3 BHK Apartment for Sale in Jasola New Delhi,₹1.63 Cr ,₹3322 per sqft 
127,"3 BHK Apartment for Sale in Indraprastha Extension, Patparganj New Delhi",₹1.69 Cr ,₹5426 per sqft 
128,4 BHK Builder Floor for Sale in Sahibabad Ghaziabad,₹82 Lac ,₹56250 per sqft 
129,2 BHK Apartment for Sale in Sector-4 Greater Noida,₹35 Lac ,₹8457 per sqft 
130,"3 BHK Builder Floor for Sale in South City 2, Sector 49 Gurgaon",₹1.99 Cr ,₹9440 per sqft 
131,1 BHK Builder Floor for Sale in Laxmi Nagar New Delhi,₹30 Lac ,₹12102 per sqft 
132,3 BHK Apartment for Sale in Vasant Kunj Sector B New Delhi,₹2.40 Cr ,₹5083 per sqft 
133,"4 BHK Builder Floor for Sale in Ram Vihar, Anand Vihar New Delhi",₹4.35 Cr ,₹4615 per sqft 
134,"2 BHK Apartment for Sale in Siddhartha Vihar, NH 24 Ghaziabad",₹57.5 Lac ,₹7712 per sqft 
135,3 BHK Builder Floor for Sale in Rohini Sector 24 New Delhi,₹82 Lac ,₹7273 per sqft 
136,3 BHK Apartment for Sale in Sector 50 Noida,₹1.60 Cr ,₹4091 per sqft 
137,3 BHK Apartment for Sale in Sector 106 Gurgaon,₹1.19 Cr ,₹6759 per sqft 
138,2 BHK Apartment for Sale in Wave City Ghaziabad,₹29.9 Lac ,₹5000 per sqft 
139,3 BHK Apartment for Sale in Greater Noida West Greater Noida,₹63.8 Lac ,₹14179 per sqft 
140,2 BHK Apartment for Sale in Krishna Nagar New Delhi,₹45 Lac ,₹7083 per sqft 
141,4 BHK Builder Floor for Sale in Rohini Sector 21 New Delhi,₹1.48 Cr ,₹5780 per sqft 
142,3 BHK Builder Floor for Sale in Rohini Sector 22 New Delhi,₹1.18 Cr ,₹18056 per sqft 
143,"4 BHK Builder Floor for Sale in Malibu Town, Sector 47 Gurgaon",₹3 Cr ,₹2906 per sqft 
144,1 BHK Apartment for Sale in Narela New Delhi,Call for Price,₹6903 per sqft 
145,"2 BHK Builder Floor for Sale in Dwarka Sector 16, Dwarka New Delhi",₹61 Lac ,₹4421 per sqft 
146,3 BHK Builder Floor for Sale in Okhla New Delhi,₹30 Lac ,₹5429 per sqft 
147,3 BHK Apartment for Sale in Indirapuram Ghaziabad,₹1.20 Cr ,₹8148 per sqft 
148,2 BHK Apartment for Sale in Sector 56 Gurgaon,₹80 Lac ,₹10312 per sqft 
149,3 BHK Builder Floor for Sale in Shahdara New Delhi,₹45 Lac ,₹8727 per sqft 
150,2 BHK Apartment for Sale in Sector 83 Gurgaon,₹73 Lac ,₹32500 per sqft 
151,5 BHK Apartment for Sale in Sector-4 Greater Noida,₹1.10 Cr ,₹4800 per sqft 
152,3 BHK Builder Floor for Sale in Adarsh Nagar New Delhi,₹1.90 Cr ,₹6225 per sqft 
153,"2 BHK Apartment for Sale in Sector 108, Noida Express Way Noida",₹85 Lac ,₹72000 per sqft 
