,Title,Price,Price Per Sqft
259,3 BHK Apartment for Sale in Sector 81 Faridabad,₹1.30 Cr ,₹5800 per sqft 
260,"4 BHK Builder Floor for Sale in Ghasola, Sector 49 Gurgaon",₹2.31 Cr ,₹5800 per sqft 
261,2 BHK Builder Floor for Sale in Rohini Sector 25 New Delhi,₹55 Lac ,₹8411 per sqft 
262,"3 BHK Apartment for Sale in Siddhartha Vihar, NH 24 Ghaziabad",₹69 Lac ,₹3700 per sqft 
263,2 BHK Builder Floor for Sale in Rohini Sector 24 New Delhi,₹55 Lac ,₹29167 per sqft 
264,3 BHK Apartment for Sale in Sector 82 Gurgaon,₹1.30 Cr ,₹5000 per sqft 
265,"3 BHK Builder Floor for Sale in Dlf City Phase 4, Sector 28 Gurgaon",₹3.35 Cr ,₹5208 per sqft 
266,"3 BHK Apartment for Sale in Esencia, Sector 67, Sohna Road Gurgaon",₹3.65 Cr ,₹14286 per sqft 
267,3 BHK Apartment for Sale in Greater Noida West Greater Noida,₹89 Lac ,₹14000 per sqft 
268,3 BHK Apartment for Sale in Greater Noida West Greater Noida,₹89.2 Lac ,₹20455 per sqft 
269,4 BHK Builder Floor for Sale in Mayur Vihar 1 New Delhi,₹2 Cr ,₹4963 per sqft 
270,2 BHK Builder Floor for Sale in Bhagwati Garden New Delhi,₹31.5 Lac ,₹7731 per sqft 
271,"2 BHK Apartment for Sale in Sector 150, Pusta Road Noida",₹79 Lac ,₹4062 per sqft 
272,2 BHK Apartment for Sale in Sector 85 Gurgaon,₹1.17 Cr ,₹7317 per sqft 
273,2 BHK Apartment for Sale in Sector 85 Gurgaon,₹1.18 Cr ,₹6556 per sqft 
274,"3 BHK Builder Floor for Sale in Rajpur Khurd Extension, Rajpur New Delhi",₹70 Lac ,₹4259 per sqft 
275,2 BHK Apartment for Sale in Sector 85 Gurgaon,₹1.19 Cr ,₹15574 per sqft 
276,3 BHK Apartment for Sale in Sector 88A Gurgaon,₹1.22 Cr ,₹14958 per sqft 
277,2 BHK Apartment for Sale in Sector 88A Gurgaon,₹1.05 Cr ,₹6695 per sqft 
278,2 BHK Apartment for Sale in Sector 88A Gurgaon,₹1.06 Cr ,₹10000 per sqft 
279,2 BHK Apartment for Sale in Sector 88A Gurgaon,₹1.11 Cr ,₹18423 per sqft 
280,2 BHK Apartment for Sale in Raj Nagar Extension Ghaziabad,₹25 Lac ,₹17804 per sqft 
281,3 BHK Builder Floor for Sale in Dilshad Colony New Delhi,₹58 Lac ,₹5852 per sqft 
282,"2 BHK Apartment for Sale in Sector 137, Noida Express Way Noida",₹58 Lac ,₹10105 per sqft 
283,4 BHK Apartment for Sale in Sector 79 Gurgaon,₹2.25 Cr ,₹4994 per sqft 
284,3 BHK Apartment for Sale in Yamuna Expressway Greater Noida,₹37 Lac ,₹3864 per sqft 
285,4 BHK Builder Floor for Sale in Anand Lok New Delhi,₹10.50 Cr ,₹9333 per sqft 
286,3 BHK Apartment for Sale in Omicron 1 Greater Noida,₹65 Lac ,₹6637 per sqft 
287,2 BHK Apartment for Sale in Sector 16 Greater Noida,₹50 Lac ,₹7393 per sqft 
288,3 BHK Builder Floor for Sale in Pandav Nagar New Delhi,Call for Price,₹6542 per sqft 
289,"3 BHK Apartment for Sale in Sector 94, Noida Express Way Noida",₹6 Cr ,₹3231 per sqft 
290,3 BHK Apartment for Sale in Paschim Vihar New Delhi,₹1.40 Cr ,₹4531 per sqft 
291,4 BHK Apartment for Sale in Vasant Kunj Sector C New Delhi,₹4.50 Cr ,₹6233 per sqft 
292,3 BHK Apartment for Sale in Tughlakabad Extension New Delhi,Call for Price,₹3733 per sqft 
293,4 BHK Builder Floor for Sale in BABLAA New Delhi,₹67 Lac ,₹4831 per sqft 
294,"3 BHK Apartment for Sale in Sector 37D, Delhi Gurgaon Expressway Gurgaon",₹1.40 Cr ,₹3927 per sqft 
295,3 BHK Builder Floor for Sale in Rajendra Nagar Ghaziabad,₹65 Lac ,₹3591 per sqft 
296,2 BHK Apartment for Sale in Sector 85 Gurgaon,₹1.20 Cr ,₹5612 per sqft 
297,3 BHK Apartment for Sale in Sector 55 Gurgaon,₹1.18 Cr ,₹5386 per sqft 
298,2 BHK Builder Floor for Sale in Uttam Nagar West New Delhi,₹23 Lac ,₹8878 per sqft 
299,3 BHK Apartment for Sale in Sector 62 Gurgaon,₹3.80 Cr ,₹5277 per sqft 
300,4 BHK Apartment for Sale in Sector 62 Gurgaon,₹5.50 Cr ,₹5965 per sqft 
301,2 BHK Apartment for Sale in Noida Extension Noida,₹78 Lac ,₹3265 per sqft 
302,3 BHK Apartment for Sale in Dwarka Sector 22 New Delhi,₹1.80 Cr ,₹12444 per sqft 
303,4 BHK Apartment for Sale in Sector 62 Gurgaon,₹4.79 Cr ,₹12308 per sqft 
304,4 BHK Apartment for Sale in Sector 62 Gurgaon,₹8.19 Cr ,₹5000 per sqft 
305,"4 BHK Builder Floor for Sale in Uttam Nagar East, Uttam Nagar New Delhi",₹79 Lac ,₹6260 per sqft 
306,"3 BHK Builder Floor for Sale in Sushant Lok 3, Sector 57 Gurgaon",₹1.45 Cr ,₹10000 per sqft 
307,"3 BHK Builder Floor for Sale in Sector 2, Mathura Road Faridabad",₹1.20 Cr ,₹11296 per sqft 
308,"3 BHK Apartment for Sale in Sector 151, Noida Express Way Noida",₹51 Lac ,₹8611 per sqft 
309,4 BHK Builder Floor for Sale in Dwarka Sector 8 New Delhi,₹2.10 Cr ,₹13889 per sqft 
310,2 BHK Apartment for Sale in Sector 77 Noida,₹75 Lac ,₹21111 per sqft 
311,"3 BHK Builder Floor for Sale in Sector 57 Block G, Golf Course Extension Road Gurgaon",₹1.75 Cr ,₹4850 per sqft 
312,3 BHK Apartment for Sale in Sector 108 Gurgaon,₹1.15 Cr ,₹13889 per sqft 
313,2 BHK Apartment for Sale in Raj Nagar Extension Ghaziabad,₹31.5 Lac ,₹15833 per sqft 
314,1 BHK Builder Floor for Sale in Shalimar Garden Extension 1 Ghaziabad,₹29 Lac ,₹6087 per sqft 
315,2 BHK Apartment for Sale in Sector 121 Noida,₹67 Lac ,₹13664 per sqft 
316,2 BHK Builder Floor for Sale in Govindpuram Ghaziabad,₹28 Lac ,₹20139 per sqft 
317,2 BHK Apartment for Sale in C-16 Greater Noida,₹43 Lac ,₹2963 per sqft 
318,3 BHK Apartment for Sale in Sector 1 Greater Noida West Greater Noida,₹54 Lac ,₹14645 per sqft 
319,2 BHK Apartment for Sale in Sector 1 Greater Noida West Greater Noida,₹45.7 Lac ,₹5062 per sqft 
320,3 BHK Apartment for Sale in Sector 92 Gurgaon,₹55 Lac ,₹6926 per sqft 
321,"4 BHK Apartment for Sale in Sector 79, Dadri Road Noida",₹1.29 Cr ,₹5319 per sqft 
322,3 BHK Apartment for Sale in Sector 75 Noida,₹1.82 Cr ,₹5353 per sqft 
323,3 BHK Builder Floor for Sale in Vaishali Sector 6 Ghaziabad,₹83.9 Lac ,₹11364 per sqft 
324,"3 BHK Apartment for Sale in Sector 137, Noida Express Way Noida",₹85 Lac ,₹4545 per sqft 
325,"3 BHK Apartment for Sale in Eta 2, Eta Greater Noida",₹40 Lac ,₹15833 per sqft 
326,2 BHK Apartment for Sale in NH 24 Ghaziabad,₹32 Lac ,₹4316 per sqft 
327,4 BHK Builder Floor for Sale in Vikaspuri Block G New Delhi,₹2.80 Cr ,₹32479 per sqft 
328,3 BHK Apartment for Sale in Dwarka Sector 6 New Delhi,₹1.60 Cr ,₹4379 per sqft 
329,"3 BHK Apartment for Sale in Sector 134, Noida Noida",₹75 Lac ,₹7389 per sqft 
330,2 BHK Builder Floor for Sale in Sector 1 Greater Noida West Greater Noida,₹33.5 Lac ,₹10720 per sqft 
331,"2 BHK Apartment for Sale in Behrampur Village, Sector 71, Sohna Road Gurgaon",₹75 Lac ,₹16500 per sqft 
332,3 BHK Builder Floor for Sale in New Panchwati Colony Ghaziabad,Call for Price,₹4833 per sqft 
333,"4 BHK Builder Floor for Sale in Sushant Lok-I, Sector 43 Gurgaon",₹3.50 Cr ,₹10000 per sqft 
334,4 BHK Builder Floor for Sale in DLF City Phase 2 Gurgaon,₹3.05 Cr ,₹13889 per sqft 
335,4 BHK Builder Floor for Sale in DLF City Phase 1 Gurgaon,₹3.10 Cr ,₹7627 per sqft 
336,3 BHK Builder Floor for Sale in DLF City Phase 2 Gurgaon,₹2.50 Cr ,₹6194 per sqft 
337,3 BHK Builder Floor for Sale in Kalkaji New Delhi,₹3.80 Cr ,₹7692 per sqft 
338,2 BHK Apartment for Sale in Greater Noida West Greater Noida,₹38.8 Lac ,₹16360 per sqft 
339,4 BHK Builder Floor for Sale in Safdarjung New Delhi,₹6.25 Cr ,₹8571 per sqft 
340,5 BHK Penthouse for Sale in Sector 54 Gurgaon,₹9.50 Cr ,₹2393 per sqft 
341,3 BHK Builder Floor for Sale in Sector 57 Gurgaon,₹1.40 Cr ,₹4278 per sqft 
342,2 BHK Apartment for Sale in Sector 58 Gurgaon,₹2.23 Cr ,₹6787 per sqft 
343,4 BHK Builder Floor for Sale in Defence Colony New Delhi,₹7.25 Cr ,₹17593 per sqft 
344,2 BHK Apartment for Sale in Shalimar Garden Extension 1 Ghaziabad,₹40 Lac ,₹11351 per sqft 
345,2 BHK Apartment for Sale in Chhattarpur Enclave Phase2 New Delhi,Call for Price,₹4815 per sqft 
346,3 BHK Apartment for Sale in Sector 62 Gurgaon,₹3.79 Cr ,₹10444 per sqft 
347,2 BHK Apartment for Sale in Noida Extension Noida,₹61 Lac ,₹7942 per sqft 
348,2 BHK Apartment for Sale in Sector 3 Gurgaon,₹98 Lac ,₹10571 per sqft 
349,3 BHK Apartment for Sale in Sector 43 Gurgaon,₹1.90 Cr ,₹6250 per sqft 
350,2 BHK Apartment for Sale in Noida Extension Noida,₹62.5 Lac ,₹19375 per sqft 
351,3 BHK Apartment for Sale in Rohini Sector 14 New Delhi,₹1.70 Cr ,₹7479 per sqft 
352,3 BHK Apartment for Sale in Sector 107 Gurgaon,₹1.04 Cr ,₹12500 per sqft 
353,3 BHK Builder Floor for Sale in Dwarka Sector 8 New Delhi,₹1.25 Cr ,₹3445 per sqft 
354,1 BHK Builder Floor for Sale in Tila More Ghaziabad,Call for Price,₹12200 per sqft 
355,2 BHK Apartment for Sale in Sector 92 Gurgaon,₹60 Lac ,₹6200 per sqft 
356,3 BHK Apartment for Sale in Sector 58 Gurgaon,₹4.75 Cr ,₹11250 per sqft 
357,3 BHK Apartment for Sale in C Block Noida,₹71 Lac ,₹16752 per sqft 
358,3 BHK Builder Floor for Sale in Defence Colony New Delhi,₹9.50 Cr ,₹7006 per sqft 
359,3 BHK Builder Floor for Sale in Vaishali Sector 5 Ghaziabad,₹63.5 Lac ,₹24444 per sqft 
360,3 BHK Apartment for Sale in Sector 108 Gurgaon,₹1.48 Cr ,₹3693 per sqft 
361,3 BHK Apartment for Sale in Sector 113 Gurgaon,₹2.16 Cr ,₹9398 per sqft 
362,"3 BHK Apartment for Sale in Behrampur, Sector 59 Gurgaon",₹3.45 Cr ,₹10000 per sqft 
363,3 BHK Apartment for Sale in Noida Extension Noida,₹65 Lac ,₹5714 per sqft 
364,"2 BHK Apartment for Sale in Indraprastha Extension, Patparganj New Delhi",₹1.10 Cr ,₹5600 per sqft 
365,2 BHK Apartment for Sale in NH 24 Ghaziabad,₹32 Lac ,₹10645 per sqft 
366,3 BHK Apartment for Sale in Dwarka Sector 18 New Delhi,₹2.50 Cr ,₹5306 per sqft 
367,4 BHK Penthouse for Sale in Sector 92 Gurgaon,₹1.80 Cr ,₹8551 per sqft 
368,2 BHK Apartment for Sale in Vaishali Sector 4 Ghaziabad,₹63.8 Lac ,₹8882 per sqft 
369,"3 BHK Apartment for Sale in Sector 150, Pusta Road Noida",₹1.25 Cr ,₹42192 per sqft 
370,3 BHK Apartment for Sale in Sector 65 Gurgaon,₹6.49 Cr ,₹2393 per sqft 
371,"2 BHK Builder Floor for Sale in Krishna Colony, Sector 7 Gurgaon",₹60 Lac ,₹11481 per sqft 
372,2 BHK Apartment for Sale in Loni Ghaziabad,₹23.5 Lac ,₹18333 per sqft 
373,3 BHK Builder Floor for Sale in Dwarka Mor New Delhi,₹38.5 Lac ,₹3772 per sqft 
374,2 BHK Apartment for Sale in Sector 106 Gurgaon,₹94 Lac ,₹4960 per sqft 
375,2 BHK Apartment for Sale in Kapashera New Delhi,Call for Price,₹16512 per sqft 
376,3 BHK Builder Floor for Sale in New Friends Colony New Delhi,₹4.75 Cr ,₹5207 per sqft 
377,3 BHK Apartment for Sale in Dwarka Sector 10 New Delhi,₹2.10 Cr ,₹17053 per sqft 
378,3 BHK Apartment for Sale in Sector 22 D Greater Noida,₹65 Lac ,₹9091 per sqft 
379,3 BHK Apartment for Sale in Golf course Extension Road Gurgaon,₹2.35 Cr ,₹7519 per sqft 
380,"3 BHK Apartment for Sale in Sector 30, Golf Course Metro Noida",₹1.10 Cr ,₹5100 per sqft 
381,3 BHK Apartment for Sale in Dwarka Sector 6 New Delhi,₹1.85 Cr ,₹29167 per sqft 
382,2 BHK Apartment for Sale in Sohna Sector 33 Gurgaon,₹75.3 Lac ,₹6806 per sqft 
383,4 BHK Apartment for Sale in Rohini Sector 9 New Delhi,₹3.10 Cr ,₹6277 per sqft 
384,3 BHK Apartment for Sale in Sector 3 Gurgaon,₹1.35 Cr ,₹24444 per sqft 
385,"2 BHK Apartment for Sale in Khirki extension, Malviya Nagar New Delhi",Call for Price,₹2783 per sqft 
386,2 BHK Apartment for Sale in Janakpuri New Delhi,₹1 Cr ,₹4950 per sqft 
387,2 BHK Apartment for Sale in Sector 70 Faridabad,₹36 Lac ,₹8031 per sqft 
388,"4 BHK Builder Floor for Sale in South City 2, Sector 49 Gurgaon",₹3.05 Cr ,₹17178 per sqft 
389,3 BHK Apartment for Sale in Noida Extension Noida,₹85.9 Lac ,₹15023 per sqft 
390,2 BHK Apartment for Sale in Dwarka Sector 6 New Delhi,₹1.35 Cr ,₹12444 per sqft 
391,4 BHK Builder Floor for Sale in Janakpuri Block A1 New Delhi,₹4.90 Cr ,₹3164 per sqft 
392,"2 BHK Apartment for Sale in Sector 128, Noida Express Way Noida",₹95 Lac ,₹9773 per sqft 
393,3 BHK Builder Floor for Sale in Greater Kailash 3 New Delhi,₹4.40 Cr ,₹7692 per sqft 
394,4 BHK Builder Floor for Sale in Gopal Nagar Gurgaon,₹65 Lac ,₹7143 per sqft 
395,2 BHK Apartment for Sale in Sector 68 Gurgaon,₹1.25 Cr ,₹11905 per sqft 
396,3 BHK Builder Floor for Sale in Dwarka Sector 8 New Delhi,₹1.90 Cr ,₹11515 per sqft 
397,"3 BHK Builder Floor for Sale in Dilshad Plaza, Shalimar Garden Ghaziabad",₹60 Lac ,₹4145 per sqft 
398,2 BHK Apartment for Sale in Vasundhara Ghaziabad,₹70 Lac ,₹5000 per sqft 
399,"3 BHK Apartment for Sale in Sector 93A, Noida Express Way Noida",₹1.65 Cr ,₹16250 per sqft 
400,2 BHK Apartment for Sale in Noida Extension Noida,₹65 Lac ,₹5714 per sqft 
401,"3 BHK Apartment for Sale in Sector 128, Noida Express Way Noida",₹1.77 Cr ,₹11250 per sqft 
402,3 BHK Apartment for Sale in Sector 68 Gurgaon,₹1.70 Cr ,₹19000 per sqft 
403,3 BHK Apartment for Sale in DLF City Phase 5 Gurgaon,₹2 Cr ,₹10310 per sqft 
404,> 10 BHK Builder Floor for Sale in Rohini New Delhi,₹5.45 Cr ,₹6667 per sqft 
405,2 BHK Apartment for Sale in Loni Ghaziabad,₹23.5 Lac ,₹10514 per sqft 
406,4 BHK Builder Floor for Sale in DLF City Phase 1 Gurgaon,₹3.10 Cr ,₹17000 per sqft 
407,3 BHK Builder Floor for Sale in New Rajendra Nagar New Delhi,₹2.75 Cr ,₹17000 per sqft 
408,2 BHK Builder Floor for Sale in Uttam Nagar West New Delhi,₹21.5 Lac ,₹4290 per sqft 
409,3 BHK Builder Floor for Sale in New Delhi,₹62 Lac ,₹7314 per sqft 
410,4 BHK Builder Floor for Sale in DLF City Phase 2 Gurgaon,₹3.55 Cr ,₹7083 per sqft 
411,3 BHK Builder Floor for Sale in Chhattarpur New Delhi,₹63 Lac ,₹3411 per sqft 
412,3 BHK Apartment for Sale in Vasant Kunj Sector D New Delhi,₹3.24 Cr ,₹6875 per sqft 
413,"3 BHK Builder Floor for Sale in Sector 76, Delhi Gurgaon Expressway Gurgaon",₹1.48 Cr ,₹5797 per sqft 
414,3 BHK Apartment for Sale in Smartworld gems Gurgaon,₹1.07 Cr ,₹3095 per sqft 
415,3 BHK Apartment for Sale in Sohna Sector 36 Gurgaon,₹61.7 Lac ,₹6667 per sqft 
416,5 BHK Builder Floor for Sale in Vasant Vihar New Delhi,₹21 Cr ,₹8547 per sqft 
417,2 BHK Apartment for Sale in Sector 77 Noida,₹65 Lac ,₹4646 per sqft 
418,3 BHK Builder Floor for Sale in Indirapuram Ghaziabad,₹86 Lac ,₹6230 per sqft 
419,3 BHK Builder Floor for Sale in J Block-Saket New Delhi,₹2.75 Cr ,₹4900 per sqft 
420,2 BHK Builder Floor for Sale in Sector 1 Greater Noida,₹32 Lac ,₹13130 per sqft 
421,3 BHK Apartment for Sale in Wave City Ghaziabad,₹99 Lac ,₹12963 per sqft 
422,2 BHK Apartment for Sale in Sector 35 Gurgaon,₹82 Lac ,₹15265 per sqft 
423,4 BHK Apartment for Sale in Sector 65 Gurgaon,₹7.50 Cr ,₹15259 per sqft 
424,1 BHK Apartment for Sale in Vasant Kunj New Delhi,₹1.60 Cr ,₹15252 per sqft 
425,4 BHK Builder Floor for Sale in Vikaspuri Block G New Delhi,₹2.80 Cr ,₹15258 per sqft 
426,3 BHK Apartment for Sale in Crossings Republik Ghaziabad,₹53 Lac ,₹15250 per sqft 
427,3 BHK Apartment for Sale in Sector 55 Gurgaon,₹2.15 Cr ,₹15261 per sqft 
428,"3 BHK Apartment for Sale in Sector 143, Noida Express Way Noida",₹1.15 Cr ,₹12500 per sqft 
429,"3 BHK Apartment for Sale in Sector 93A, Noida Express Way Noida",₹1.25 Cr ,₹4598 per sqft 
430,3 BHK Apartment for Sale in Dwarka Sector 12 New Delhi,₹1.25 Cr ,₹3986 per sqft 
431,3 BHK Apartment for Sale in Dwarka Sector 2 New Delhi,₹1.90 Cr ,₹5887 per sqft 
432,2 BHK Apartment for Sale in Indirapuram Ghaziabad,₹40 Lac ,₹9000 per sqft 
433,2 BHK Apartment for Sale in Indirapuram Ghaziabad,₹1.10 Cr ,₹6667 per sqft 
434,3 BHK Builder Floor for Sale in New Friends Colony New Delhi,₹2.60 Cr ,₹18056 per sqft 
435,2 BHK Builder Floor for Sale in Sector 63A Gurgaon,₹40 Lac ,₹5873 per sqft 
436,4 BHK Builder Floor for Sale in Sector 52 Gurgaon,₹2.69 Cr ,₹4634 per sqft 
437,"4 BHK Apartment for Sale in Behrampur, Sector 59 Gurgaon",₹6.65 Cr ,₹5000 per sqft 
438,"3 BHK Apartment for Sale in Sector 128, Noida Express Way Noida",Call for Price,₹6959 per sqft 
439,"4 BHK Builder Floor for Sale in Sushant Lok-I, Sector 43 Gurgaon",₹2.99 Cr ,₹25833 per sqft 
440,3 BHK Builder Floor for Sale in Sector 95 Gurgaon,₹90 Lac ,₹26111 per sqft 
441,3 BHK Apartment for Sale in Indirapuram Ghaziabad,₹2.25 Cr ,₹20000 per sqft 
442,3 BHK Apartment for Sale in Sector 59 Gurgaon,₹5.69 Cr ,₹17500 per sqft 
443,4 BHK Apartment for Sale in Sector 59 Gurgaon,₹5.95 Cr ,₹10286 per sqft 
444,3 BHK Apartment for Sale in Raj Nagar Extension Ghaziabad,₹65 Lac ,₹3190 per sqft 
445,2 BHK Apartment for Sale in Surajpur Greater Noida,₹1.28 Cr ,₹4889 per sqft 
446,4 BHK Apartment for Sale in Noida Extention Greater Noida,₹1.70 Cr ,₹6916 per sqft 
447,3 BHK Apartment for Sale in Tronica City Ghaziabad,₹51 Lac ,₹14062 per sqft 
448,"2 BHK Builder Floor for Sale in Ranjeet Nagar, Shadipur New Delhi",₹55 Lac ,₹7037 per sqft 
449,"3 BHK Apartment for Sale in Sector 150, Pusta Road Noida",₹85.5 Lac ,₹10505 per sqft 
450,2 BHK Apartment for Sale in NH 24 Ghaziabad,₹26 Lac ,₹11250 per sqft 
451,"3 BHK Builder Floor for Sale in Dabri Extension, Dabri New Delhi",₹42 Lac ,₹4360 per sqft 
452,"3 BHK Apartment for Sale in Sector 150, Pusta Road Noida",₹1.05 Cr ,₹4395 per sqft 
453,3 BHK Builder Floor for Sale in Sector 79 Gurgaon,₹1.49 Cr ,₹7231 per sqft 
454,3 BHK Builder Floor for Sale in Dwarka Mor New Delhi,₹46 Lac ,₹6341 per sqft 
455,2 BHK Apartment for Sale in Omega 2 Greater Noida,₹38 Lac ,₹15619 per sqft 
456,3 BHK Apartment for Sale in Greater Noida West Greater Noida,₹62.5 Lac ,₹4737 per sqft 
457,2 BHK Apartment for Sale in Sector 62 Gurgaon,₹1.98 Cr ,₹5055 per sqft 
458,3 BHK Builder Floor for Sale in Punjabi Bagh West New Delhi,₹1.75 Cr ,₹4381 per sqft 
459,3 BHK Apartment for Sale in Sector 106 Gurgaon,₹3.74 Cr ,₹13333 per sqft 
460,3 BHK Apartment for Sale in Sector 106 Gurgaon,₹4.12 Cr ,₹47727 per sqft 
461,4 BHK Apartment for Sale in Sector 106 Gurgaon,₹4.69 Cr ,₹7435 per sqft 
462,4 BHK Apartment for Sale in Sector 106 Gurgaon,₹5.18 Cr ,₹13944 per sqft 
463,5 BHK Apartment for Sale in Sector 106 Gurgaon,₹6.24 Cr ,₹11200 per sqft 
464,5 BHK Apartment for Sale in Sector 106 Gurgaon,₹6.86 Cr ,₹6522 per sqft 
465,4 BHK Apartment for Sale in Sector 113 Gurgaon,₹2.57 Cr ,₹9474 per sqft 
466, Studio Apartment for Sale in Zeta 1 Greater Noida,₹20 Lac ,₹6765 per sqft 
467,"3 BHK Apartment for Sale in Siddhartha Vihar, NH 24 Ghaziabad",₹55 Lac ,₹5630 per sqft 
468,2 BHK Builder Floor for Sale in Dwarka Mor New Delhi,₹35.5 Lac ,₹4231 per sqft 
469,3 BHK Apartment for Sale in Sector 67A Gurgaon,₹1.48 Cr ,₹13636 per sqft 
470,4 BHK Builder Floor for Sale in Sector 85 Faridabad,₹1.60 Cr ,₹2737 per sqft 
471,3 BHK Builder Floor for Sale in Lajpat Nagar 3 New Delhi,₹3.25 Cr ,₹10015 per sqft 
472,"3 BHK Apartment for Sale in Sector 150, Pusta Road Noida",₹92.5 Lac ,₹5961 per sqft 
473,4 BHK Apartment for Sale in NH 24 Ghaziabad,₹98 Lac ,₹3654 per sqft 
474,2 BHK Apartment for Sale in Noida Extension Noida,₹53 Lac ,₹4278 per sqft 
475,3 BHK Apartment for Sale in Sector 70 Gurgaon,₹1 Cr ,₹3864 per sqft 
476,"3 BHK Builder Floor for Sale in Jangpura Extension, Jangpura New Delhi",₹4.65 Cr ,₹3448 per sqft 
477,"3 BHK Builder Floor for Sale in Jangpura Extension, Jangpura New Delhi",₹4.70 Cr ,₹6550 per sqft 
478,3 BHK Builder Floor for Sale in Surajmal Vihar New Delhi,₹3.60 Cr ,₹9017 per sqft 
479,4 BHK Builder Floor for Sale in Vasant Kunj New Delhi,₹3.50 Cr ,₹6216 per sqft 
480,4 BHK Builder Floor for Sale in Sector 56 Gurgaon,₹3.60 Cr ,₹17022 per sqft 
481,"2 BHK Apartment for Sale in Sector 44, Dadri Road Noida",₹33.5 Lac ,₹11778 per sqft 
482,2 BHK Apartment for Sale in Uttam Nagar New Delhi,₹22 Lac ,₹23333 per sqft 
483, Studio Apartment for Sale in Sector 74 Noida,₹37 Lac ,₹5278 per sqft 
484,"1 BHK Apartment for Sale in Lok Nayak Puram, Bakkarwala New Delhi",Call for Price,₹5065 per sqft 
485,3 BHK Builder Floor for Sale in Greater Kailash 1 New Delhi,₹2.25 Cr ,₹8333 per sqft 
486,4 BHK Builder Floor for Sale in Sector 51 Gurgaon,₹1.90 Cr ,₹4973 per sqft 
487,2 BHK Builder Floor for Sale in Dwarka Sector 8 New Delhi,₹80 Lac ,₹4481 per sqft 
488,"3 BHK Builder Floor for Sale in South City 1, Sector 41 Gurgaon",₹2.60 Cr ,₹7848 per sqft 
489,3 BHK Apartment for Sale in Patparganj New Delhi,₹1.80 Cr ,₹52083 per sqft 
490,2 BHK Builder Floor for Sale in Uttam Nagar New Delhi,Call for Price,₹5636 per sqft 
491,"3 BHK Apartment for Sale in Sector 135, Noida Express Way Noida",₹75 Lac ,₹7333 per sqft 
492,2 BHK Builder Floor for Sale in Dwarka Mor New Delhi,₹26.5 Lac ,₹7000 per sqft 
493,"4 BHK Apartment for Sale in Sector 43 Block D, DLF Golf Course Road Gurgaon",₹2.35 Cr ,₹5989 per sqft 
494,2 BHK Apartment for Sale in Vaishali Sector 4 Ghaziabad,₹65 Lac ,₹10536 per sqft 
495,4 BHK Builder Floor for Sale in Sushant Lok 1 Block C Gurgaon,₹3.28 Cr ,₹11123 per sqft 
496,2 BHK Apartment for Sale in Greater Noida West Greater Noida,₹45 Lac ,₹6416 per sqft 
497,2 BHK Apartment for Sale in Greater Noida West Greater Noida,₹46 Lac ,₹8125 per sqft 
498,4 BHK Apartment for Sale in Noida Extention Greater Noida,₹85 Lac ,₹28264 per sqft 
499,4 BHK Builder Floor for Sale in New Friends Colony New Delhi,₹6 Cr ,₹3626 per sqft 
500,4 BHK Builder Floor for Sale in Defence Colony New Delhi,₹10.50 Cr ,₹9000 per sqft 
501,"3 BHK Builder Floor for Sale in Neeti Khand 1, Indirapuram Ghaziabad",₹85.5 Lac ,₹9821 per sqft 
502,3 BHK Apartment for Sale in Sector 63A Gurgaon,₹2.51 Cr ,₹10952 per sqft 
503,3 BHK Apartment for Sale in Rohini Sector 13 New Delhi,₹1.40 Cr ,₹4294 per sqft 
504,"2 BHK Apartment for Sale in Sector 93A, Noida Express Way Noida",₹75 Lac ,₹14800 per sqft 
505,3 BHK Builder Floor for Sale in Sector 28 Gurgaon,₹1.80 Cr ,₹6154 per sqft 
506,"4 BHK Builder Floor for Sale in Sector 31, Mathura Road Faridabad",₹1.37 Cr ,₹10305 per sqft 
507,3 BHK Builder Floor for Sale in Sector 89 Faridabad,₹76 Lac ,₹11999 per sqft 
508,3 BHK Builder Floor for Sale in Indirapuram Ghaziabad,₹55 Lac ,₹5759 per sqft 
509,5 BHK Builder Floor for Sale in Sushant Lok 1 Block A Gurgaon,₹7.50 Cr ,₹4727 per sqft 
510,2 BHK Builder Floor for Sale in NH 24 Ghaziabad,₹26 Lac ,₹22857 per sqft 
511,"3 BHK Apartment for Sale in Sector 150, Pusta Road Noida",₹1.95 Cr ,₹16667 per sqft 
512,"2 BHK Apartment for Sale in Sector 77, Delhi Gurgaon Expressway Gurgaon",₹80 Lac ,₹16250 per sqft 
513,1 BHK Apartment for Sale in Mandola Vihar Ghaziabad,₹14.2 Lac ,₹3632 per sqft 
514,2 BHK Apartment for Sale in Sector 65 Faridabad,₹38.5 Lac ,₹10429 per sqft 
515,2 BHK Apartment for Sale in Bazaria Ghaziabad,₹34 Lac ,₹7849 per sqft 
516,2 BHK Builder Floor for Sale in Dwarka New Delhi,₹20 Lac ,₹13200 per sqft 
517,2 BHK Apartment for Sale in Palam Vihar Gurgaon,₹75 Lac ,₹9917 per sqft 
518,3 BHK Apartment for Sale in Sector 69 Gurgaon,₹1.45 Cr ,₹10437 per sqft 
519,"3 BHK Apartment for Sale in Sector 152, Noida Express Way Noida",₹1.15 Cr ,₹4669 per sqft 
